Date	Open	High	Low	Close
08-20-04	"49,813286"	"56,528118"	"47,800831"	"50,993862"
09-01-04	"51,158245"	"67,257904"	"49,285267"	"64,558022"
10-01-04	"65,155777"	"99,601669"	"64,209328"	"94,96405"
11-01-04	"96,41362"	"100,423584"	"80,353813"	"90,650223"
12-01-04	"90,635277"	"99,566803"	"83,920448"	"96,035034"
01-01-05	"98,331429"	"102,266678"	"87,815842"	"97,444756"
02-01-05	"96,827072"	"107,995209"	"90,162048"	"93,643997"
03-01-05	"94,291573"	"94,570526"	"85,962791"	"89,917969"
04-01-05	"90,540634"	"111,950386"	"89,584213"	"109,589233"
05-01-05	"110,610405"	"138,680191"	"109,69384"	"138,11731"
06-01-05	"141,071228"	"154,047592"	"133,215668"	"146,525787"
07-01-05	"146,969116"	"158,306625"	"142,959152"	"143,342712"
08-01-05	"143,522049"	"149,300385"	"136,164627"	"142,466003"
09-01-05	"142,421173"	"159,875748"	"141,967865"	"157,63913"
10-01-05	"156,229416"	"186,675293"	"144,797272"	"185,375168"
11-01-05	"185,235687"	"214,814819"	"183,81601"	"201,69899"
12-01-05	"203,835968"	"222,271866"	"198,759995"	"206,655411"
01-01-06	"210,4711"	"236,667908"	"196,632965"	"215,522171"
02-01-06	"193,788635"	"202,491013"	"168,284225"	"180,63295"
03-01-06	"183,591858"	"198,75502"	"165,15596"	"194,27182"
04-01-06	"194,037704"	"224,518448"	"193,240692"	"208,189651"
05-01-06	"208,453659"	"208,936859"	"179,611771"	"185,215759"
06-01-06	"186,072556"	"208,882065"	"185,106171"	"208,882065"
07-01-06	"209,235733"	"213,146072"	"188,139801"	"192,578171"
08-01-06	"191,835953"	"194,27182"	"181,001556"	"188,558243"
09-01-06	"189,783646"	"208,563248"	"187,656616"	"200,1996"
10-01-06	"200,1996"	"245,061447"	"198,351532"	"237,305527"
11-01-06	"238,486099"	"255,54216"	"231,661682"	"241,499802"
12-01-06	"242,082611"	"245,280624"	"225,325424"	"229,380234"
01-01-07	"232,129913"	"255,54216"	"229,694046"	"249,813644"
02-01-07	"252,055237"	"252,060211"	"220,692795"	"223,885818"
03-01-07	"220,508484"	"232,129913"	"217,684067"	"228,224564"
04-01-07	"228,025299"	"245,330444"	"225,215836"	"234,809875"
05-01-07	"235,213364"	"253,440048"	"227,850952"	"248,025345"
06-01-07	"249,564575"	"266,496094"	"247,865936"	"260,374054"
07-01-07	"261,763855"	"278,24707"	"248,50853"	"254,04776"
08-01-07	"254,296829"	"262,426361"	"239,332916"	"256,662964"
09-01-07	"256,548401"	"284,827393"	"254,48613"	"282,575836"
10-01-07	"283,920807"	"352,179932"	"283,741455"	"352,179932"
11-01-07	"350,082794"	"372,224823"	"306,859802"	"345,206085"
12-01-07	"344,214813"	"361,046722"	"325,031708"	"344,448914"
01-01-08	"345,141327"	"347,382935"	"258,530975"	"281,096375"
02-01-08	"263,3479"	"269,509796"	"222,590683"	"234,710251"
03-01-08	"234,874634"	"235,477371"	"205,285538"	"219,412582"
04-01-08	"223,034012"	"291,337982"	"219,676605"	"286,072723"
05-01-08	"288,075226"	"300,100159"	"267,900848"	"291,806244"
06-01-08	"290,162415"	"292,922058"	"256,583252"	"262,227112"
07-01-08	"258,819885"	"276,80249"	"231,930664"	"235,990448"
08-01-08	"235,372772"	"254,376541"	"230,08757"	"230,779984"
09-01-08	"237,494812"	"240,189713"	"189,644165"	"199,512177"
10-01-08	"204,807327"	"207,711441"	"154,142242"	"179,009033"
11-01-08	"178,12236"	"185,484756"	"123,188263"	"145,933014"
12-01-08	"142,804733"	"164,134781"	"130,799728"	"153,25058"
01-01-09	"153,723801"	"175,507156"	"140,847076"	"168,632919"
02-01-09	"166,520844"	"189,78862"	"164,159683"	"168,363937"
03-01-09	"166,042633"	"178,909409"	"144,184555"	"173,380127"
04-01-09	"171,248123"	"201,121155"	"169,669037"	"197,245682"
05-01-09	"196,777435"	"207,835983"	"191,62674"	"207,835983"
06-01-09	"208,583176"	"222,834763"	"200,194626"	"210,007843"
07-01-09	"211,307968"	"225,504745"	"197,250656"	"220,697769"
08-01-09	"223,53215"	"236,289337"	"218,461151"	"229,973007"
09-01-09	"228,98172"	"252,553375"	"225,449951"	"246,999191"
10-01-09	"245,579514"	"279,771362"	"240,398926"	"267,05899"
11-01-09	"267,537201"	"292,433899"	"263,133698"	"290,411469"
12-01-09	"292,966888"	"311,826202"	"288,508606"	"308,832428"
01-01-10	"312,304413"	"313,57962"	"261,823608"	"263,98053"
02-01-10	"266,301849"	"272,727753"	"259,029083"	"262,416412"
03-01-10	"263,611908"	"293,041595"	"262,884644"	"282,501129"
04-01-10	"284,608215"	"297,803772"	"259,542175"	"261,868439"
05-01-10	"262,266968"	"265,464966"	"229,141129"	"241,908264"
06-01-10	"239,317978"	"253,674164"	"221,529648"	"221,644226"
07-01-10	"221,813583"	"247,821106"	"216,005356"	"241,51973"
08-01-10	"243,582001"	"253,350388"	"222,989182"	"224,169754"
09-01-10	"226,640503"	"267,422638"	"225,405121"	"261,9133"
10-01-10	"264,010437"	"311,203522"	"258,456238"	"305,704132"
11-01-10	"306,715363"	"314,247131"	"275,621887"	"276,817413"
12-01-10	"280,448822"	"302,366669"	"280,149933"	"295,875977"
